query,url,format,r1,r2,r3,Current volume
Чем полезен шафран,https://food.ru/articles/9062-chem-polezen-shafran,Продукт,https://rskrf.ru/tips/eksperty-obyasnyayut/shafran-polza-i-vozmozhnyy-vred-dlya-zdorovya/,https://7universum.com/ru/med/archive/item/15262,https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D1%84%D1%80%D0%B0%D0%BD_(%D0%BF%D1%80%D1%8F%D0%BD%D0%BE%D1%81%D1%82%D1%8C),5337
Как растопить самовар,https://food.ru/articles/9037-kak-rastopit-samovar,Разбор,https://www.tula-samovar.com/stati-o-samovarah/kak-rastopit-samovar-na-drovakh/,https://samovary.ru/news/84/,https://dzen.ru/a/YDFr0ghMw0UkZ0I5,3913
Зачем включать в рацион кунжутное масло,https://food.ru/articles/9389-zachem-vkluchat-v-ratsion-kunzhutnoe-maslo,Разбор,https://www.gastronom.ru/product/kunzhutnoe-maslo-1960,https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%BD%D0%B6%D1%83%D1%82%D0%BD%D0%BE%D0%B5_%D0%BC%D0%B0%D1%81%D0%BB%D0%BE,https://rskrf.ru/tips/eksperty-obyasnyayut/kunzhutnoe-maslo-poleznye-svoystva-i-vred-dlya-zdorovya/,4792
"Сколько соли нужно есть в день, чтобы не навредить здоровью",https://food.ru/articles/8036-skolko-soli-v-den-nuzhno-est-chtoby-ne-navredit-zdorovyu,Разбор,https://www.invitro.ru/moscow/about/press_relizes/chem-bolshe-esh-tem-bolshe-khochetsya-vrach-rasskazala-kakie-riski-dlya-zdorovya-neset-skrytaya-sol/,https://www.endocrincentr.ru/news/enc-informiruet-i-rekomenduet-model-potrebleniya-pishchevoy-soli,https://kidsfmba.ru/predelno-dopustimaya-sutochnaya-doza-soli-kak-ne-pereborshhit/,3244
Что привезти из Дубая,https://food.ru/articles/17669-chto-privezti-iz-dubaya,Разбор,https://experience.tripster.ru/articles/chto-privezti-iz-dubaya/,https://t-j.ru/short/oae-souvenirs/,https://journal.sovcombank.ru/puteshestviya/chto-privezti-iz-dubaya-nedorogie-suveniri-kosmetiku-parfyumeriyu,8375
Для чего нужен витамин С,https://food.ru/articles/9189-dlya-chego-nuzhen-vitamin-c,Разбор,https://shop.evalar.ru/encyclopedia/item/vitamin-c/,https://yandex.ru/images/search?text=%D0%94%D0%BB%D1%8F+%D1%87%D0%B5%D0%B3%D0%BE+%D0%BD%D1%83%D0%B6%D0%B5%D0%BD+%D0%B2%D0%B8%D1%82%D0%B0%D0%BC%D0%B8%D0%BD+%D0%A1,https://www.rigla.ru/about/news/2022/bz-vitamin-c,3864
Как вкусно приготовить тушеную капусту,https://food.ru/articles/7734-kak-vkusno-prigotovit-tushenuyu-kapustu,Разбор,https://dzen.ru/a/ZaDZaHUsdAnxOVNg,https://lady.mail.ru/article/562406-kak-pravilno-tushit-kapustu/,https://www.russianfood.com/recipes/bytype/?fid=1174,5761
Что нельзя есть в пост,https://food.ru/articles/6573-chto-nelzja-est-v-post,Разбор,https://yandex.ru/images/search?text=%D0%A7%D1%82%D0%BE+%D0%BD%D0%B5%D0%BB%D1%8C%D0%B7%D1%8F+%D0%B5%D1%81%D1%82%D1%8C+%D0%B2+%D0%BF%D0%BE%D1%81%D1%82,https://www.gazeta.ru/style/22477255/kalendar-pitaniya-v-velikij-post.shtml,https://lenta.ru/articles/2026/01/23/velikiypost/,5058
"7 овощей, которые можно вырастить дома даже без балкона",https://food.ru/articles/8067-7-ovoshchej-kotorye-mozhno-vyrastit-doma-dazhe-bez-balkona,Подборка,https://dzen.ru/a/Xvk6BN6qSnA-mGpf,https://food.ru/articles/8067-7-ovoshchej-kotorye-mozhno-vyrastit-doma-dazhe-bez-balkona,https://vk.com/video-41677715_456241305,5296
Горький шоколад: польза и вред,https://food.ru/articles/7722-gorkij-shokolad-polza-i-vred,Продукт,https://megapteka.ru/specials/gorkij-shokolad-polza-5939,https://gnicpm.ru/articles/zdorovyj-obraz-zhizni/polza-i-vred-gorkogo-shokolada.html,https://www.corpdidi.ru/o_zdorovom_obraze_zhizni/info/gorkiy-shokolad-polza-i-vreds/,8753
